time,arb_id,data_hex,alert_type,detail
1772213059.4069803,0x100,0a00000000000000,,
1772213059.4071295,0x200,0001020304050607,,
1772213059.407174,0x300,0101010101010101,,
1772213059.4580357,0x100,0a00000000000000,,
1772213059.5077689,0x200,0001020304050607,,
1772213059.5093179,0x100,0a00000000000000,,
1772213059.56038,0x100,0a00000000000000,,
1772213059.6080694,0x200,0001020304050607,,
1772213059.608178,0x300,0101010101010101,,
1772213059.6111915,0x100,0a00000000000000,,
1772213059.661958,0x100,0a00000000000000,,
1772213059.7083988,0x200,0001020304050607,,
1772213059.712516,0x100,0a00000000000000,,
1772213059.7639985,0x100,0a00000000000000,,
1772213059.8088374,0x200,0001020304050607,,
1772213059.8089156,0x300,0101010101010101,,
1772213059.8150418,0x100,0a00000000000000,,
1772213059.8656785,0x100,0a00000000000000,,
1772213059.9098492,0x200,0001020304050607,,
1772213059.9160364,0x100,0a00000000000000,,
1772213059.96647,0x100,0a00000000000000,,
1772213060.0099614,0x200,0001020304050607,,
1772213060.0100217,0x300,0101010101010101,,
1772213060.0179083,0x100,0a00000000000000,,
1772213060.0684817,0x100,0a00000000000000,,
1772213060.1101003,0x200,0001020304050607,,
1772213060.1194093,0x100,0a00000000000000,,
1772213060.1697621,0x100,0a00000000000000,,
1772213060.2113786,0x200,0001020304050607,,
1772213060.2114375,0x300,0101010101010101,,
1772213060.2205362,0x100,0a00000000000000,,
1772213060.271093,0x100,0a00000000000000,,
1772213060.311415,0x200,0001020304050607,,
1772213060.3221667,0x100,0a00000000000000,,
1772213060.3724132,0x100,0a00000000000000,,
1772213060.4126241,0x200,0001020304050607,,
1772213060.412693,0x300,0101010101010101,,
1772213060.4235177,0x100,0a00000000000000,,
1772213060.474159,0x100,0a00000000000000,,
1772213060.5130327,0x200,0001020304050607,,
1772213060.525499,0x100,0a00000000000000,,
1772213060.5765386,0x100,0a00000000000000,,
1772213060.6134324,0x200,0001020304050607,,
1772213060.6135147,0x300,0101010101010101,,
1772213060.6273153,0x100,0a00000000000000,,
1772213060.6774464,0x100,0a00000000000000,,
1772213060.7141902,0x200,0001020304050607,,
1772213060.7280843,0x100,0a00000000000000,,
1772213060.7792706,0x100,0a00000000000000,,
1772213060.814898,0x200,0001020304050607,,
1772213060.8149629,0x300,0101010101010101,,
1772213060.8306985,0x100,0a00000000000000,,
1772213060.8817747,0x100,0a00000000000000,,
1772213060.9160397,0x200,0001020304050607,,
1772213060.932937,0x100,0a00000000000000,,
1772213060.9844754,0x100,0a00000000000000,,
1772213061.015349,0x300,0101010101010101,,
1772213061.016903,0x200,0001020304050607,,
1772213061.035477,0x100,0a00000000000000,,
1772213061.08631,0x100,0a00000000000000,,
1772213061.1179254,0x200,0001020304050607,,
1772213061.1368675,0x100,0a00000000000000,,
1772213061.1880193,0x100,0a00000000000000,,
1772213061.216183,0x300,0101010101010101,,
1772213061.2192683,0x200,0001020304050607,,
1772213061.2390878,0x100,0a00000000000000,,
1772213061.289146,0x100,0a00000000000000,,
1772213061.3202336,0x200,0001020304050607,,
1772213061.3406248,0x100,0a00000000000000,,
1772213061.3921607,0x100,0a00000000000000,,
1772213061.4175785,0x300,0101010101010101,,
1772213061.420653,0x200,0001020304050607,,
1772213061.4428015,0x100,0a00000000000000,,
1772213061.4935367,0x100,0a00000000000000,,
1772213061.521629,0x200,0001020304050607,,
1772213061.5450597,0x100,0a00000000000000,,
1772213061.5965521,0x100,0a00000000000000,,
1772213061.6181922,0x300,0101010101010101,,
1772213061.6229615,0x200,0001020304050607,,
1772213061.648082,0x100,0a00000000000000,,
1772213061.6989849,0x100,0a00000000000000,,
1772213061.7243435,0x200,0001020304050607,,
1772213061.7496278,0x100,0a00000000000000,,
1772213061.8004768,0x100,0a00000000000000,,
1772213061.8199515,0x300,0101010101010101,,
1772213061.8258383,0x200,0001020304050607,,
1772213061.851027,0x100,0a00000000000000,,
1772213061.9016275,0x100,0a00000000000000,,
1772213061.9260304,0x200,0001020304050607,,
1772213061.951836,0x100,0a00000000000000,,
1772213062.0019314,0x100,0a00000000000000,,
1772213062.0201366,0x300,0101010101010101,,
1772213062.0265718,0x200,0001020304050607,,
1772213062.0531278,0x100,0a00000000000000,,
1772213062.103542,0x100,0a00000000000000,,
1772213062.1267786,0x200,0001020304050607,,
1772213062.153981,0x100,0a00000000000000,,
1772213062.205435,0x100,0a00000000000000,,
1772213062.221276,0x300,0101010101010101,,
1772213062.2276955,0x200,0001020304050607,,
1772213062.2559435,0x100,0a00000000000000,,
1772213062.3060772,0x100,0a00000000000000,,
1772213062.3279352,0x200,0001020304050607,,
1772213062.3568008,0x100,0a00000000000000,,
1772213062.4080698,0x100,0a00000000000000,,
1772213062.4222968,0x300,0101010101010101,,
1772213062.4285176,0x200,0001020304050607,,
1772213062.458491,0x100,0a00000000000000,,
1772213062.5091162,0x100,0a00000000000000,,
1772213062.5297577,0x200,0001020304050607,,
1772213062.55974,0x100,0a00000000000000,,
1772213062.6102748,0x100,0a00000000000000,,
1772213062.6228707,0x300,0101010101010101,,
1772213062.6306467,0x200,0001020304050607,,
1772213062.6604533,0x100,0a00000000000000,,
1772213062.7109525,0x100,0a00000000000000,,
1772213062.7318127,0x200,0001020304050607,,
1772213062.7617092,0x100,0a00000000000000,,
1772213062.8125885,0x100,0a00000000000000,,
1772213062.8237033,0x300,0101010101010101,,
1772213062.8330197,0x200,0001020304050607,,
1772213062.8639164,0x100,0a00000000000000,,
1772213062.9145715,0x100,0a00000000000000,,
1772213062.9343295,0x200,0001020304050607,,
1772213062.9646301,0x100,0a00000000000000,,
1772213063.0160198,0x100,0a00000000000000,,
1772213063.0255446,0x300,0101010101010101,,
1772213063.0344648,0x200,0001020304050607,,
1772213063.0673332,0x100,0a00000000000000,,
1772213063.1187034,0x100,0a00000000000000,,
1772213063.134832,0x200,0001020304050607,,
1772213063.1691906,0x100,0a00000000000000,,
1772213063.2204788,0x100,0a00000000000000,,
1772213063.2271528,0x300,0101010101010101,,
1772213063.2359376,0x200,0001020304050607,,
1772213063.270762,0x100,0a00000000000000,,
1772213063.3218846,0x100,0a00000000000000,,
1772213063.337406,0x200,0001020304050607,,
1772213063.3723934,0x100,0a00000000000000,,
1772213063.4232044,0x100,0a00000000000000,,
1772213063.4278982,0x300,0101010101010101,,
1772213063.4375234,0x200,0001020304050607,,
1772213063.4740465,0x100,0a00000000000000,,
1772213063.5253432,0x100,0a00000000000000,,
1772213063.5376694,0x200,0001020304050607,,
1772213063.5767403,0x100,0a00000000000000,,
1772213063.6272657,0x100,0a00000000000000,,
1772213063.6288342,0x300,0101010101010101,,
1772213063.6377764,0x200,0001020304050607,,
1772213063.6786895,0x100,0a00000000000000,,
1772213063.7292783,0x100,0a00000000000000,,
1772213063.7385907,0x200,0001020304050607,,
1772213063.780189,0x100,0a00000000000000,,
1772213063.8294008,0x300,0101010101010101,,
1772213063.8309999,0x100,0a00000000000000,,
1772213063.8388982,0x200,0001020304050607,,
1772213063.88141,0x100,0a00000000000000,,
1772213063.9320445,0x100,0a00000000000000,,
1772213063.9397473,0x200,0001020304050607,,
1772213063.9833925,0x100,0a00000000000000,,
1772213064.0303073,0x300,0101010101010101,,
1772213064.03344,0x100,0a00000000000000,,
1772213064.0397828,0x200,0001020304050607,,
1772213064.0849075,0x100,0a00000000000000,,
1772213064.1363354,0x100,0a00000000000000,,
1772213064.140879,0x200,0001020304050607,,
1772213064.1877236,0x100,0a00000000000000,,
1772213064.2313528,0x300,0101010101010101,,
1772213064.2390144,0x100,0a00000000000000,,
1772213064.2422025,0x200,0001020304050607,,
1772213064.2902663,0x100,0a00000000000000,,
1772213064.3405054,0x100,0a00000000000000,,
1772213064.343631,0x200,0001020304050607,,
1772213064.391415,0x100,0a00000000000000,,
1772213064.4075108,0x100,6363636363636363,,
1772213064.412917,0x100,6363636363636363,,
1772213064.4180877,0x100,6363636363636363,,
1772213064.4237897,0x100,6363636363636363,,
1772213064.429284,0x100,6363636363636363,,
1772213064.4318378,0x300,0101010101010101,,
1772213064.4346075,0x100,6363636363636363,,
1772213064.4399045,0x100,6363636363636363,,
1772213064.442788,0x100,0a00000000000000,,
1772213064.4443452,0x200,0001020304050607,,
1772213064.4453588,0x100,6363636363636363,,
1772213064.4509892,0x100,6363636363636363,,
1772213064.456578,0x100,6363636363636363,,
1772213064.461683,0x100,6363636363636363,,
1772213064.4672425,0x100,6363636363636363,,
1772213064.4728181,0x100,6363636363636363,,
1772213064.4784195,0x100,6363636363636363,,
1772213064.4836833,0x100,6363636363636363,,
1772213064.4894145,0x100,6363636363636363,,
1772213064.4934828,0x100,0a00000000000000,,
1772213064.4945073,0x100,6363636363636363,,
1772213064.4996629,0x100,6363636363636363,,
1772213064.5052533,0x100,6363636363636363,,
1772213064.5107827,0x100,6363636363636363,,
1772213064.5161889,0x100,6363636363636363,,
1772213064.521701,0x100,6363636363636363,,
1772213064.5270946,0x100,6363636363636363,,
1772213064.5327368,0x100,6363636363636363,,
1772213064.5382836,0x100,6363636363636363,,
1772213064.5433886,0x100,6363636363636363,,
1772213064.5444226,0x100,0a00000000000000,,
1772213064.5444462,0x200,0001020304050607,,
1772213064.5490882,0x100,6363636363636363,,
1772213064.5542734,0x100,6363636363636363,,
1772213064.559498,0x100,6363636363636363,,
1772213064.564843,0x100,6363636363636363,,
1772213064.5704176,0x100,6363636363636363,,
1772213064.5760343,0x100,6363636363636363,,
1772213064.58157,0x100,6363636363636363,,
1772213064.5867553,0x100,6363636363636363,,
1772213064.5923312,0x100,6363636363636363,,
1772213064.5955908,0x100,0a00000000000000,,
1772213064.5976143,0x100,6363636363636363,,
1772213064.603212,0x100,6363636363636363,,
1772213064.6087666,0x100,6363636363636363,,
1772213064.61403,0x100,6363636363636363,,
1772213064.6191833,0x100,6363636363636363,,
1772213064.6246617,0x100,6363636363636363,,
1772213064.6298194,0x100,6363636363636363,FREQ_ANOMALY,count_in_2.0s=81 thresh=80
1772213064.63285,0x300,0101010101010101,,
