time,arb_id,data_hex,alert_type,detail
1772062232.5460863,0x100,0a00000000000000,,
1772062232.5462134,0x200,0001020304050607,,
1772062232.5462427,0x300,0101010101010101,,
1772062232.597022,0x100,0a00000000000000,,
1772062232.647136,0x100,0a00000000000000,,
1772062232.6472092,0x200,0001020304050607,,
1772062232.6974783,0x100,0a00000000000000,,
1772062232.7472255,0x200,0001020304050607,,
1772062232.747303,0x300,0101010101010101,,
1772062232.7487702,0x100,0a00000000000000,,
1772062232.800276,0x100,0a00000000000000,,
1772062232.8476765,0x200,0001020304050607,,
1772062232.8508315,0x100,0a00000000000000,,
1772062232.902194,0x100,0a00000000000000,,
1772062232.947919,0x200,0001020304050607,,
1772062232.9479923,0x300,0101010101010101,,
1772062232.9539046,0x100,0a00000000000000,,
1772062233.004522,0x100,0a00000000000000,,
1772062233.0485752,0x200,0001020304050607,,
1772062233.0549517,0x100,0a00000000000000,,
1772062233.1052248,0x100,0a00000000000000,,
1772062233.1487856,0x200,0001020304050607,,
1772062233.148854,0x300,0101010101010101,,
1772062233.1561074,0x100,0a00000000000000,,
1772062233.2071104,0x100,0a00000000000000,,
1772062233.2493553,0x200,0001020304050607,,
1772062233.2585716,0x100,0a00000000000000,,
1772062233.3096888,0x100,0a00000000000000,,
1772062233.350011,0x200,0001020304050607,,
1772062233.3500657,0x300,0101010101010101,,
1772062233.3610055,0x100,0a00000000000000,,
1772062233.4119182,0x100,0a00000000000000,,
1772062233.4511857,0x200,0001020304050607,,
1772062233.4618905,0x100,0a00000000000000,,
1772062233.5131128,0x100,0a00000000000000,,
1772062233.550145,0x300,0101010101010101,,
1772062233.5515974,0x200,0001020304050607,,
1772062233.5642803,0x100,0a00000000000000,,
1772062233.6155956,0x100,0a00000000000000,,
1772062233.6531184,0x200,0001020304050607,,
1772062233.6657453,0x100,0a00000000000000,,
1772062233.7159152,0x100,0a00000000000000,,
1772062233.7509472,0x300,0101010101010101,,
1772062233.7539446,0x200,0001020304050607,,
1772062233.7664506,0x100,0a00000000000000,,
1772062233.8180683,0x100,0a00000000000000,,
1772062233.8549407,0x200,0001020304050607,,
1772062233.8691556,0x100,0a00000000000000,,
1772062233.9210198,0x100,0a00000000000000,,
1772062233.9521036,0x300,0101010101010101,,
1772062233.9552896,0x200,0001020304050607,,
1772062233.9724364,0x100,0a00000000000000,,
1772062234.0235198,0x100,0a00000000000000,,
1772062234.0563726,0x200,0001020304050607,,
1772062234.0735533,0x100,0a00000000000000,,
1772062234.1243007,0x100,0a00000000000000,,
1772062234.1523476,0x300,0101010101010101,,
1772062234.1571465,0x200,0001020304050607,,
1772062234.1743007,0x100,0a00000000000000,,
1772062234.2258017,0x100,0a00000000000000,,
1772062234.2586415,0x200,0001020304050607,,
1772062234.2759092,0x100,0a00000000000000,,
1772062234.3270283,0x100,0a00000000000000,,
1772062234.3535452,0x300,0101010101010101,,
1772062234.359925,0x200,0001020304050607,,
1772062234.3770373,0x100,0a00000000000000,,
1772062234.4284549,0x100,0a00000000000000,,
1772062234.4613817,0x200,0001020304050607,,
1772062234.4799511,0x100,0a00000000000000,,
1772062234.5300617,0x100,0a00000000000000,,
1772062234.5549068,0x300,0101010101010101,,
1772062234.5613356,0x200,0001020304050607,,
1772062234.5814419,0x100,0a00000000000000,,
1772062234.6325371,0x100,0a00000000000000,,
1772062234.6615992,0x200,0001020304050607,,
1772062234.6830795,0x100,0a00000000000000,,
1772062234.734155,0x100,0a00000000000000,,
1772062234.7557285,0x300,0101010101010101,,
1772062234.7620034,0x200,0001020304050607,,
1772062234.785276,0x100,0a00000000000000,,
1772062234.8357284,0x100,0a00000000000000,,
1772062234.8634703,0x200,0001020304050607,,
1772062234.8866482,0x100,0a00000000000000,,
1772062234.9376745,0x100,0a00000000000000,,
1772062234.956195,0x300,0101010101010101,,
1772062234.9638824,0x200,0001020304050607,,
1772062234.9886906,0x100,0a00000000000000,,
1772062235.0401525,0x100,0a00000000000000,,
1772062235.064886,0x200,0001020304050607,,
1772062235.0913498,0x100,0a00000000000000,,
1772062235.1427763,0x100,0a00000000000000,,
1772062235.1566203,0x300,0101010101010101,,
1772062235.166282,0x200,0001020304050607,,
1772062235.194226,0x100,0a00000000000000,,
1772062235.2457602,0x100,0a00000000000000,,
1772062235.267613,0x200,0001020304050607,,
1772062235.2972612,0x100,0a00000000000000,,
1772062235.3486495,0x100,0a00000000000000,,
1772062235.3580322,0x300,0101010101010101,,
1772062235.3689554,0x200,0001020304050607,,
1772062235.3988328,0x100,0a00000000000000,,
1772062235.4503164,0x100,0a00000000000000,,
1772062235.470405,0x200,0001020304050607,,
1772062235.5012836,0x100,0a00000000000000,,
1772062235.5519667,0x100,0a00000000000000,,
1772062235.5580375,0x300,0101010101010101,,
1772062235.570701,0x200,0001020304050607,,
1772062235.6032364,0x100,0a00000000000000,,
1772062235.6544986,0x100,0a00000000000000,,
1772062235.671503,0x200,0001020304050607,,
1772062235.7060347,0x100,0a00000000000000,,
1772062235.757078,0x100,0a00000000000000,,
1772062235.7588394,0x300,0101010101010101,,
1772062235.7718203,0x200,0001020304050607,,
1772062235.807227,0x100,0a00000000000000,,
1772062235.8587217,0x100,0a00000000000000,,
1772062235.8726811,0x200,0001020304050607,,
1772062235.9098885,0x100,0a00000000000000,,
1772062235.9590952,0x300,0101010101010101,,
1772062235.960791,0x100,0a00000000000000,,
1772062235.9730988,0x200,0001020304050607,,
1772062236.011225,0x100,0a00000000000000,,
1772062236.0624316,0x100,0a00000000000000,,
1772062236.0732465,0x200,0001020304050607,,
1772062236.1134791,0x100,0a00000000000000,,
1772062236.1598415,0x300,0101010101010101,,
1772062236.1646261,0x100,0a00000000000000,,
1772062236.17383,0x200,0001020304050607,,
1772062236.215481,0x100,0a00000000000000,,
1772062236.2662458,0x100,0a00000000000000,,
1772062236.2741513,0x200,0001020304050607,,
1772062236.3176875,0x100,0a00000000000000,,
1772062236.3608708,0x300,0101010101010101,,
1772062236.3684206,0x100,0a00000000000000,,
1772062236.3745332,0x200,0001020304050607,,
1772062236.4194083,0x100,0a00000000000000,,
1772062236.470745,0x100,0a00000000000000,,
1772062236.4753268,0x200,0001020304050607,,
1772062236.5217793,0x100,0a00000000000000,,
1772062236.5617087,0x300,0101010101010101,,
1772062236.572473,0x100,0a00000000000000,,
1772062236.5754967,0x200,0001020304050607,,
1772062236.623873,0x100,0a00000000000000,,
1772062236.6740913,0x100,0a00000000000000,,
1772062236.675685,0x200,0001020304050607,,
1772062236.7254539,0x100,0a00000000000000,,
1772062236.7626472,0x300,0101010101010101,,
1772062236.7764952,0x100,0a00000000000000,,
1772062236.7765589,0x200,0001020304050607,,
1772062236.827674,0x100,0a00000000000000,,
1772062236.8777008,0x200,0001020304050607,,
1772062236.8793151,0x100,0a00000000000000,,
1772062236.9304364,0x100,0a00000000000000,,
1772062236.962814,0x300,0101010101010101,,
1772062236.9782102,0x200,0001020304050607,,
1772062236.9814441,0x100,0a00000000000000,,
1772062237.032685,0x100,0a00000000000000,,
1772062237.078956,0x200,0001020304050607,,
1772062237.0835397,0x100,0a00000000000000,,
1772062237.1345847,0x100,0a00000000000000,,
1772062237.1638405,0x300,0101010101010101,,
1772062237.1793792,0x200,0001020304050607,,
1772062237.1858637,0x100,0a00000000000000,,
1772062237.23734,0x100,0a00000000000000,,
1772062237.2804294,0x200,0001020304050607,,
1772062237.2880626,0x100,0a00000000000000,,
1772062237.3381555,0x100,0a00000000000000,,
1772062237.3643036,0x300,0101010101010101,,
1772062237.3812823,0x200,0001020304050607,,
1772062237.3889906,0x100,0a00000000000000,,
1772062237.4396026,0x100,0a00000000000000,,
1772062237.4813418,0x200,0001020304050607,,
1772062237.4905007,0x100,0a00000000000000,,
1772062237.540999,0x100,0a00000000000000,,
1772062237.5655818,0x300,0101010101010101,,
1772062237.5824678,0x200,0001020304050607,,
1772062237.591771,0x100,0a00000000000000,,
1772062237.642733,0x100,0a00000000000000,,
1772062237.6831796,0x200,0001020304050607,,
1772062237.6942034,0x100,0a00000000000000,,
1772062237.745173,0x100,0a00000000000000,,
1772062237.7663743,0x300,0101010101010101,,
1772062237.7834918,0x200,0001020304050607,,
1772062237.7959414,0x100,0a00000000000000,,
1772062237.846589,0x100,0a00000000000000,,
1772062237.884031,0x200,0001020304050607,,
1772062237.8978078,0x100,0a00000000000000,,
1772062237.9490654,0x100,0a00000000000000,,
1772062237.967514,0x300,0101010101010101,,
1772062237.9844391,0x200,0001020304050607,,
1772062237.9996386,0x100,0a00000000000000,,
1772062238.0510798,0x100,0a00000000000000,,
1772062238.0852277,0x200,0001020304050607,,
1772062238.102334,0x100,0a00000000000000,,
1772062238.152631,0x100,0a00000000000000,,
1772062238.168449,0x300,0101010101010101,,
1772062238.1855278,0x200,0001020304050607,,
1772062238.204063,0x100,0a00000000000000,,
1772062238.2552094,0x100,0a00000000000000,,
1772062238.286307,0x200,0001020304050607,,
1772062238.3064296,0x100,0a00000000000000,,
1772062238.3576636,0x100,0a00000000000000,,
1772062238.3687642,0x300,0101010101010101,,
1772062238.387236,0x200,0001020304050607,,
1772062238.4090347,0x100,0a00000000000000,,
1772062238.4596667,0x100,0a00000000000000,,
1772062238.4876466,0x200,0001020304050607,,
1772062238.5108774,0x100,0a00000000000000,,
1772062238.561919,0x100,0a00000000000000,,
1772062238.5696461,0x300,0101010101010101,,
1772062238.5883472,0x200,0001020304050607,,
1772062238.6127603,0x100,0a00000000000000,,
1772062238.664131,0x100,0a00000000000000,,
1772062238.689345,0x200,0001020304050607,,
1772062238.7141762,0x100,0a00000000000000,,
1772062238.765158,0x100,0a00000000000000,,
1772062238.769824,0x300,0101010101010101,,
1772062238.7900298,0x200,0001020304050607,,
1772062238.8164446,0x100,0a00000000000000,,
1772062238.8677225,0x100,0a00000000000000,,
1772062238.8910248,0x200,0001020304050607,,
1772062238.918809,0x100,0a00000000000000,,
1772062238.9698157,0x100,0a00000000000000,,
1772062238.9712934,0x300,0101010101010101,,
1772062238.9914622,0x200,0001020304050607,,
